"Date","Clicks","Impressions","Avg. CTR"
"6/11/2026 12:00:00 AM","114","2554","4.46"
"6/12/2026 12:00:00 AM","114","2361","4.83"
"6/13/2026 12:00:00 AM","88","1822","4.83"
"6/14/2026 12:00:00 AM","116","2543","4.56"
"6/15/2026 12:00:00 AM","145","3016","4.81"
"6/16/2026 12:00:00 AM","121","2828","4.28"
"6/17/2026 12:00:00 AM","115","2681","4.29"
"6/18/2026 12:00:00 AM","118","2650","4.45"
"6/19/2026 12:00:00 AM","99","2534","3.91"
"6/20/2026 12:00:00 AM","123","2213","5.56"
"6/21/2026 12:00:00 AM","123","2146","5.73"
"6/22/2026 12:00:00 AM","144","3116","4.62"
"6/23/2026 12:00:00 AM","134","2977","4.5"
"6/24/2026 12:00:00 AM","122","2958","4.12"
"6/25/2026 12:00:00 AM","140","2996","4.67"
"6/26/2026 12:00:00 AM","124","2491","4.98"
"6/27/2026 12:00:00 AM","105","2164","4.85"
"6/28/2026 12:00:00 AM","90","2395","3.76"
"6/29/2026 12:00:00 AM","134","3186","4.21"
"6/30/2026 12:00:00 AM","108","2763","3.91"
"7/1/2026 12:00:00 AM","130","2665","4.88"
"7/2/2026 12:00:00 AM","116","2643","4.39"
"7/3/2026 12:00:00 AM","114","2352","4.85"
"7/4/2026 12:00:00 AM","80","1691","4.73"
"7/5/2026 12:00:00 AM","83","2236","3.71"
"7/6/2026 12:00:00 AM","130","2960","4.39"
"7/7/2026 12:00:00 AM","106","2803","3.78"
"7/8/2026 12:00:00 AM","148","3164","4.68"
"7/9/2026 12:00:00 AM","131","3010","4.35"
"7/10/2026 12:00:00 AM","115","2655","4.33"
"7/11/2026 12:00:00 AM","114","2439","4.67"
"7/12/2026 12:00:00 AM","108","2607","4.14"
"7/13/2026 12:00:00 AM","146","3558","4.1"
"7/14/2026 12:00:00 AM","117","3305","3.54"
"7/15/2026 12:00:00 AM","131","3217","4.07"
"7/16/2026 12:00:00 AM","125","3108","4.02"
"7/17/2026 12:00:00 AM","95","2583","3.68"
"7/18/2026 12:00:00 AM","118","2356","5.01"
"7/19/2026 12:00:00 AM","81","2380","3.4"
"7/20/2026 12:00:00 AM","144","3490","4.13"
"7/21/2026 12:00:00 AM","130","4003","3.25"
"7/22/2026 12:00:00 AM","138","3468","3.98"
"7/23/2026 12:00:00 AM","113","3588","3.15"
"7/24/2026 12:00:00 AM","118","3425","3.45"
"7/25/2026 12:00:00 AM","107","3045","3.51"
"7/26/2026 12:00:00 AM","110","2656","4.14"
"7/27/2026 12:00:00 AM","152","3482","4.37"
"7/28/2026 12:00:00 AM","131","3372","3.88"
"7/29/2026 12:00:00 AM","151","3435","4.4"
"7/30/2026 12:00:00 AM","129","3553","3.63"
"7/31/2026 12:00:00 AM","126","3121","4.04"
"8/1/2026 12:00:00 AM","119","2979","3.99"
"8/2/2026 12:00:00 AM","99","2851","3.47"
"8/3/2026 12:00:00 AM","142","3607","3.94"
"8/4/2026 12:00:00 AM","150","3580","4.19"
"8/5/2026 12:00:00 AM","141","3425","4.12"
"8/6/2026 12:00:00 AM","136","3347","4.06"
"8/7/2026 12:00:00 AM","128","3166","4.04"
"8/8/2026 12:00:00 AM","115","2904","3.96"
"8/9/2026 12:00:00 AM","151","2872","5.26"
"8/10/2026 12:00:00 AM","142","3964","3.58"
"8/11/2026 12:00:00 AM","108","3464","3.12"
"8/12/2026 12:00:00 AM","140","3658","3.83"
"8/13/2026 12:00:00 AM","151","3637","4.15"
"8/14/2026 12:00:00 AM","164","4069","4.03"
"8/15/2026 12:00:00 AM","122","3408","3.58"
"8/16/2026 12:00:00 AM","184","3850","4.78"
"8/17/2026 12:00:00 AM","207","4723","4.38"
"8/18/2026 12:00:00 AM","189","4392","4.3"
"8/19/2026 12:00:00 AM","186","4021","4.63"
"8/20/2026 12:00:00 AM","166","4205","3.95"
"8/21/2026 12:00:00 AM","158","4215","3.75"
"8/22/2026 12:00:00 AM","139","3414","4.07"
"8/23/2026 12:00:00 AM","211","7325","2.88"
"8/24/2026 12:00:00 AM","220","6249","3.52"
"8/25/2026 12:00:00 AM","199","6524","3.05"
"8/26/2026 12:00:00 AM","191","5880","3.25"
"8/27/2026 12:00:00 AM","171","5532","3.09"
"8/28/2026 12:00:00 AM","137","5192","2.64"
"8/29/2026 12:00:00 AM","170","5198","3.27"
"8/30/2026 12:00:00 AM","147","3965","3.71"
"8/31/2026 12:00:00 AM","146","4077","3.58"
"9/1/2026 12:00:00 AM","153","3819","4.01"
"9/2/2026 12:00:00 AM","151","3983","3.79"
"9/3/2026 12:00:00 AM","162","3956","4.1"
"9/4/2026 12:00:00 AM","136","6781","2.01"
"9/5/2026 12:00:00 AM","139","8548","1.63"
"9/6/2026 12:00:00 AM","115","8317","1.38"
"9/7/2026 12:00:00 AM","163","7259","2.25"
"9/8/2026 12:00:00 AM","164","7911","2.07"
"9/9/2026 12:00:00 AM","181","6244","2.9"
